"mouse","sex","stage"
"SO1H","M","P70"
"SO2H","M","P70"
"SX1H","F","P70"
"SQ1N","F","P70"
"SY1N","M","P70"
"SY2N","M","P70"
"SY3N","M","P70"
"SY4N","M","P70"
"SY5N","M","P70"
"SY6N","M","P70"
"EA1H","M","P12"
"EA2H","F","P12"
"EA3H","M","P12"
"EA4H","M","P12"
"EA5H","M","P12"
"EA6H","M","P12"
"EB1H","M","P12"
"EB2H","M","P12"
"EB3H","M","P12"
"EB4H","F","P12"
"EB5H","M","P12"
"EB6H","M","P12"
"EB7H","F","P12"
"EB8H","M","P12"
"EC1N","M","P12"
"EC2N","M","P12"
"EC3N","M","P12"
"ED1N","F","P12"
"ED2N","F","P12"
"ED3N","M","P12"
"ED4N","F","P12"
"ED5N","?","P6"
"ED6N","?","P6"
"ED7N","?","P6"
"ED8N","?","P6"
"ED9N","?","P6"
"EE1N","M","P12"
"EE2N","M","P12"
"EE3N","M","P12"
"EE4N","F","P12"
"EE5N","M","P12"
"EE6N","F","P12"
"EE7N","F","P12"
"EE8N","F","P12"
"EE9N","F","P12"
"EE10N","M","P12"
"EE11N","M","P12"
"FA1H","F","P21"
"FA2H","F","P21"
"FA3H","F","P21"
"FA4H","F","P21"
"FA5H","M","P21"
"FA6H","M","P21"
"FA7H","M","P21"
"FA8H","F","P21"
"FE1N","F","P21"
"FE2N","F","P21"
"FE3N","M","P21"
"FE4N","M","P21"
"FF1N","F","P21"
"FF2N","M","P21"
"FF3N","M","P21"
"FF4N","M","P21"
"FF5N","M","P21"
"FB1H","M","P8"
"FB2H","F","P8"
"FB3H","M","P8"
"FB4H","F","P8"
"FB5H","F","P8"
"FC1H","F","P8"
"FC2H","M","P8"
"FC3H","F","P8"
"FC4H","F","P8"
"FC5H","M","P8"
"FG1N","M","P8"
"FG2N","F","P8"
"FG3N","F","P8"
"FG4N","F","P8"
"FG5N","M","P8"
"FG6N","M","P8"
"FG7N","M","P8"
"FD1H","M","P4"
"FD2H","F","P4"
"FD3H","F","P4"
"FD4H","M","P4"
"FD5H","M","P4"
"FD6H","F","P4"
"FD7H","F","P4"
"FD8H","M","P4"
"FH1N","F","P4"
"FH2N","F","P4"
"FH3N","M","P4"
"FH4N","M","P4"
"FH5N","M","P4"
"FH6N","F","P4"
"FH7N","M","P4"
"GB1H","M","P4"
"GB2H","F","P4"
"GB3H","F","P8"
"GB4H","M","P8"
"GA1H","M","P4"
"GA2H","M","P4"
"GA3H","F","P4"
"GC1H","M","P8"
"GC2H","M","P8"
"GC3H","F","P8"
"GC4H","F","P8"
"GD1N","F","P8"
"GD2N","F","P8"
"GD3N","M","P8"
"GD4N","M","P8"
"GD5N","F","P8"
"GD6N","F","P8"
"GG1N","M","P4"
"GG2N","F","P4"
"GG3N","F","P4"
"GG4N","F","P4"
"GG5N","M","P4"
"GG6N","M","P4"
"GG7N","F","P4"
"GG8N","M","P4"
"GE1N","M","P12"
"GE2N","F","P12"
"GE3N","M","P12"
"GE4N","F","P12"
"GE5N","F","P12"
"GE6N","M","P12"
"GE7N","M","P21"
"GE8N","F","P21"
"GF1N","F","P21"
"GF2N","M","P21"
"GF3N","M","P21"
"GF4N","F","P21"
"GF5N","F","P21"
"JC1H","M","P12"
"JC2H","M","P12"
"JC3H","M","P12"
"JC4H","F","P12"
"JC5H","M","P12"
"JC6H","F","P12"
"JC7H","M","P12"
"JC8H","M","P12"
"JC9H","M","P12"
"JA1H","F","P8"
"JA2H","M","P8"
"JA3H","F","P8"
"JA4H","M","P8"
"JB1H","F","P70"
"JB2H","M","P70"
"JB3H","F","P70"
"JD1H","M","P21"
"JD2H","F","P21"
"JD3H","M","P21"
"JD4H","F","P70"
"JD5H","F","P70"
"JD6H","M","P21"
"JD7H","F","P21"
"JD8H","M","P21"
"JD9H","M","P21"
"KA1N","F","P12"
"KA2N","F","P12"
"KA3N","F","P12"
"KA4N","F","P12"
"KA5N","M","P12"
"KA6N","M","P12"
"KB1N","M","P70"
"KB2N","M","P70"
"KB3N","F","P70"
"KC1N","F","P8"
"KC2N","M","P8"
"KC3N","F","P8"
"KD1N","M","P70"
"KE1N","M","P8"
"KE2N","F","P8"
"KE3N","F","P8"
"KE4N","F","P8"
"KE5N","M","P8"
"KE6N","F","P8"
"KF1N","M","P4"
"KF2N","F","P4"
"KF3N","F","P4"
"KF4N","M","P4"
"KF5N","F","P4"
"KF6N","F","P4"
"KF7N","F","P4"
"KF8N","M","P4"
"KG1H","M","P8"
"KG2H","M","P8"
"KG3H","M","P8"
"KG4H","M","P8"
"KG5H","F","P8"
"KG6H","F","P8"
"KG7H","F","P8"
"KH1H","F","P4"
"KH2H","M","P4"
"KH3H","F","P4"
"KH4H","M","P4"
"KH5H","F","P4"
"KH6H","M","P4"
"KH7H","F","P4"
"KH8H","M","P4"
"KH9H","F","P4"
